STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT,TBM1,TBM2,TBM3,XL1,XL2,XL3,US_TBM1,US_TBM2,US_TBM3,KQXT
31,7.6,7.2,5.4,5.6,5.6,6.7,6.7,4.0,7.7,6.6,5.8,6.9,6.4,7.1,5.4,5.7,7.5,5.7,4.4,7.7,5.8,8.0,8.4,5.4,5.5,5.5,5.5,5.6,6.5,7.0,6.9,5.7,6.5,5.4,5.4,5.8,7.5,7.1,7.5,5.7,6.5,7.5,6.8,6.7,6.4,7.8,8.4,6.2,F,0,1,5.0,3.5,5.5,D1,6.385,6.32,6.704999999999999,TB,TB,K,2.0673575129533677,2.1170212765957452,2.326836581709143,0
32,2.6,4.6,4.6,3.6,4.2,5.4,5.2,4.5,3.8,6.1,6.3,8.1,4.5,7.2,5.6,4.5,5.9,6.4,6.4,7.7,4.9,7.1,7.8,5.3,6.8,7.7,7.2,6.4,6.3,8.1,8.0,6.7,6.3,6.1,7.6,4.1,5.5,6.2,6.3,5.1,8.0,7.3,7.3,7.4,5.8,9.0,6.7,6.7,M,0,1,4.5,4.75,5.5,A,4.795,6.63,6.550000000000001,Y,K,K,0.41968911917098467,2.4468085106382977,2.1409295352323836,0
33,6.0,6.8,7.1,7.3,6.6,7.1,6.9,7.0,6.0,6.9,5.8,7.7,6.2,6.9,7.0,7.6,6.8,7.7,7.1,8.2,5.6,8.4,7.4,6.9,5.4,6.6,6.2,8.4,6.6,7.7,6.3,7.3,6.7,6.1,7.1,6.8,6.6,6.6,6.9,6.5,6.7,7.6,6.7,6.6,6.7,6.6,7.1,7.5,F,0,2,4.5,4.5,4.75,D1,6.685,6.85,6.775,K,K,K,2.3782383419689115,2.680851063829787,2.4107946026986498,0
34,6.4,4.6,6.4,5.9,5.7,7.2,6.9,2.9,4.5,4.4,6.2,5.3,5.1,6.4,4.6,4.0,8.0,7.7,7.3,6.3,5.3,5.9,5.7,5.8,8.5,6.6,5.9,4.6,4.4,6.6,5.1,5.5,7.7,5.4,6.2,6.4,4.5,5.3,5.9,3.1,6.0,6.8,7.0,5.0,4.9,4.9,6.4,4.4,M,0,1,2.25,4.0,4.25,A,5.41,6.27,5.65,TB,TB,TB,1.0569948186528502,2.063829787234042,1.061469265367316,0
35,4.7,7.2,7.4,7.6,6.3,7.7,4.9,4.7,6.2,5.4,7.0,6.6,5.5,6.5,8.1,4.9,4.3,5.3,5.2,7.3,6.2,5.6,7.2,6.4,5.3,5.1,8.4,7.2,6.5,7.1,8.4,6.3,6.4,5.6,6.7,6.1,7.0,5.3,5.6,4.7,7.0,5.5,7.0,7.0,7.6,5.3,6.8,4.3,M,0,2NT,2.5,4.5,4.5,A,6.17,6.205,6.295,TB,TB,TB,1.844559585492228,1.9946808510638299,1.8350824587706134,0
36,6.5,4.4,6.5,5.7,6.4,6.9,4.0,4.6,5.3,5.1,5.1,5.9,6.3,6.5,4.7,5.3,6.1,4.7,4.7,7.0,6.0,5.9,7.3,5.7,5.7,4.3,4.1,6.7,5.9,5.4,6.7,5.8,7.1,5.9,6.7,5.2,5.9,5.5,4.7,5.6,6.9,5.7,7.0,6.6,6.4,5.8,6.0,5.5,M,0,2,2.5,5.0,5.0,A,5.6850000000000005,5.784999999999999,6.140000000000001,TB,TB,TB,1.3419689119170992,1.5478723404255312,1.6491754122938527,0
37,7.3,4.8,4.9,4.6,4.0,5.1,5.8,3.4,7.5,5.8,3.1,8.8,4.9,8.5,7.1,3.8,8.0,6.3,4.8,6.8,4.7,6.8,7.6,3.3,7.7,5.4,6.2,7.5,5.3,7.9,7.8,5.7,7.8,4.6,5.0,6.0,4.3,4.6,6.6,4.8,8.1,6.0,7.1,7.1,4.7,8.3,6.9,5.0,M,0,1,4.25,3.5,2.75,A,5.654999999999999,6.375,6.09,TB,TB,TB,1.3108808290155436,2.175531914893617,1.589205397301348,0
38,3.4,4.2,3.7,4.4,6.1,4.6,4.7,4.4,4.4,5.9,4.8,5.4,5.0,6.7,5.7,5.3,5.8,4.8,4.4,5.6,5.2,5.8,5.1,5.7,3.0,3.8,3.9,5.9,5.1,5.3,5.8,6.5,3.2,6.1,6.6,5.1,5.7,4.4,5.3,6.3,3.7,6.7,6.8,6.6,5.8,5.9,4.7,5.8,M,0,2,2.25,5.25,4.5,A,4.88,5.04,5.3549999999999995,Y,TB,TB,0.5077720207253887,0.7553191489361702,0.7076461769115429,0
39,4.4,5.6,5.2,6.4,5.9,6.7,7.2,4.3,4.4,2.4,7.5,7.1,5.7,5.1,5.6,4.9,5.1,5.0,6.8,4.9,3.8,6.4,5.6,4.5,5.6,5.5,7.2,5.5,4.5,6.0,6.2,3.8,5.8,3.5,5.5,5.8,4.7,6.6,6.8,3.9,5.8,4.0,7.0,5.5,5.2,6.5,6.6,4.2,M,0,1,2.0,3.0,5.25,A,5.4399999999999995,5.27,5.445,TB,TB,TB,1.0880829015544038,0.9999999999999996,0.8155922038980504,0
40,4.3,5.0,4.8,1.9,3.1,6.1,7.5,3.8,5.3,6.6,6.8,5.8,4.0,7.4,6.2,4.3,7.3,6.4,6.3,7.3,4.5,6.4,6.3,5.2,7.7,5.5,6.3,6.1,4.3,6.4,6.6,5.3,7.4,5.1,6.8,7.6,5.6,6.6,6.6,5.5,7.1,6.2,7.3,7.0,6.9,7.6,6.2,5.0,M,0,1,2.75,4.0,4.0,A1,4.979999999999999,6.085,6.575000000000001,Y,TB,K,0.6113989637305688,1.8670212765957446,2.1709145427286356,0
41,5.3,6.3,8.4,7.3,5.8,8.5,7.6,7.8,7.5,7.8,7.5,8.3,5.3,8.0,8.0,8.0,7.8,7.8,7.3,7.4,6.0,7.9,7.6,6.7,8.5,6.7,6.8,8.1,6.1,8.2,8.3,6.5,6.8,7.5,6.9,6.4,6.1,4.7,7.3,6.6,7.5,8.6,7.9,7.1,6.3,5.3,8.5,6.6,F,0,2,5.0,3.75,5.75,D1,7.0649999999999995,7.305,6.839999999999999,K,K,K,2.7720207253886007,3.1648936170212765,2.488755622188903,0
42,8.3,8.0,9.0,8.3,7.9,8.3,8.1,6.7,8.2,8.4,8.3,8.6,8.0,8.7,8.7,7.7,7.8,7.6,8.1,8.5,7.0,9.7,8.8,8.3,7.7,7.9,8.9,8.8,7.9,8.4,8.6,7.4,8.8,8.3,8.8,8.4,7.5,6.6,8.0,7.1,8.5,8.6,8.5,9.1,7.8,8.1,7.9,7.4,F,0,2,4.0,4.5,5.75,A,8.18,8.09,8.100000000000001,G,G,G,3.927461139896373,4.0,4.0,0
43,7.0,7.4,7.5,8.3,8.7,8.0,8.8,7.0,7.2,6.7,7.6,9.3,8.6,8.0,9.4,6.9,7.0,6.0,5.3,7.4,8.0,9.0,8.3,7.0,6.5,5.3,6.3,8.4,7.5,8.1,7.6,6.3,4.0,7.3,7.2,7.2,6.9,5.9,8.0,7.1,5.5,6.9,7.5,8.3,8.0,8.7,7.2,6.6,F,0,1,5.75,3.5,4.25,D1,7.895000000000001,7.15,6.835000000000001,K,K,K,3.6321243523316076,3.0000000000000004,2.482758620689655,0
44,6.6,7.2,5.9,6.9,7.6,8.1,7.3,6.7,6.3,6.9,6.0,6.4,7.0,7.1,6.9,6.2,6.7,7.1,5.4,6.8,6.8,5.9,6.6,6.8,6.0,7.6,6.5,7.6,6.7,7.1,7.9,5.6,5.8,5.9,5.8,4.6,6.6,4.0,6.0,6.2,6.0,7.6,6.5,7.6,6.7,7.1,7.9,5.6,F,1,2,1.25,3.5,5.0,D1,6.829999999999999,6.665,6.25,K,K,TB,2.528497409326424,2.4840425531914896,1.7811094452773601,0
45,6.1,6.9,5.9,6.6,6.0,7.0,6.8,6.7,8.8,7.1,6.4,6.7,6.8,7.1,7.1,7.1,8.4,7.3,5.6,7.5,5.8,6.8,6.3,7.3,6.6,7.1,6.3,6.8,6.6,6.9,6.7,6.9,7.8,7.3,6.8,7.8,6.8,6.1,4.3,5.8,7.8,6.8,8.0,7.4,7.1,6.6,6.8,7.3,F,0,2NT,3.75,4.0,4.0,A,6.84,6.8149999999999995,7.0,K,K,K,2.538860103626943,2.6436170212765955,2.6806596701649164,0
46,6.9,5.3,7.1,5.7,7.0,8.4,6.2,6.4,5.4,4.8,6.6,6.4,7.3,7.4,6.6,5.7,5.3,6.6,6.2,5.9,6.0,8.9,6.5,5.8,5.3,6.2,5.8,7.5,6.3,6.2,8.4,5.3,7.2,6.3,6.8,6.0,6.0,4.1,7.4,5.9,7.1,7.1,6.6,5.7,6.8,5.8,7.1,5.7,F,0,2,2.0,4.5,5.0,A,6.49,6.254999999999999,6.4350000000000005,TB,TB,TB,2.1761658031088085,2.047872340425531,2.0029985007496247,0
47,6.7,6.8,6.4,5.9,5.6,6.4,8.0,6.8,6.6,6.9,7.1,4.6,6.0,6.7,7.8,6.8,7.6,7.0,6.7,7.0,5.9,6.2,8.1,7.5,7.4,6.5,6.6,6.1,6.0,5.4,6.8,6.8,6.1,5.5,6.3,6.5,5.8,5.2,7.9,5.3,6.5,6.9,5.9,7.0,6.0,5.1,6.6,5.1,F,0,1,5.25,2.25,5.25,D1,6.5,6.725,6.105,K,K,TB,2.1865284974093266,2.5478723404255317,1.6071964017990998,0
48,7.9,7.6,8.4,8.6,6.2,7.5,8.7,7.7,7.3,7.5,8.0,7.7,5.9,8.5,8.8,8.0,7.8,7.6,8.2,7.6,5.4,6.5,8.2,8.1,9.4,7.6,9.1,8.8,6.2,6.6,8.4,8.4,8.6,8.1,9.0,7.8,5.1,5.2,8.0,7.7,8.1,9.0,9.2,7.5,4.6,5.1,7.0,7.9,M,0,2,4.75,6.5,8.0,A,7.58,7.635000000000001,7.215,K,K,K,3.305699481865285,3.5159574468085113,2.938530734632682,1
49,7.9,6.0,6.4,7.4,8.0,7.1,8.4,7.0,8.1,7.5,6.7,8.7,8.5,7.9,9.0,7.1,7.8,7.4,6.3,8.3,7.8,8.9,9.1,7.5,5.8,8.2,8.2,8.6,8.1,9.1,8.1,7.9,7.3,6.7,6.9,6.8,8.5,9.3,8.1,6.9,7.9,8.0,7.6,7.3,8.2,9.0,6.5,6.5,F,0,2,5.0,4.0,6.75,D1,7.710000000000001,7.83,7.67,K,K,K,3.440414507772022,3.7234042553191493,3.4842578710644663,1
50,8.2,7.2,8.4,5.9,5.9,6.4,6.4,6.2,8.5,6.8,5.0,6.2,6.0,7.2,8.0,7.0,6.7,6.4,6.6,5.5,5.3,6.3,5.7,6.1,6.8,6.7,5.9,5.7,6.4,7.4,7.8,6.4,7.5,7.2,6.6,5.4,6.0,6.4,5.5,5.9,7.6,7.9,8.0,7.5,5.8,6.6,7.7,6.9,F,0,2NT,3.25,4.5,4.0,A1,6.895,6.345000000000001,6.77,K,TB,K,2.5958549222797926,2.1436170212765964,2.4047976011993986,0
51,5.5,7.1,6.1,5.8,6.2,6.9,7.3,6.1,6.2,6.7,5.7,6.7,6.3,6.6,7.1,5.7,7.3,7.0,6.0,7.7,7.4,7.7,8.7,5.9,7.9,6.8,7.7,9.4,7.8,7.6,8.1,7.1,7.1,6.3,7.4,6.2,6.6,5.3,5.6,5.3,7.7,7.0,6.8,6.3,7.4,8.4,6.8,6.3,F,0,1,2.0,5.25,3.5,A,6.3100000000000005,7.525,6.765,TB,K,K,1.9896373056994825,3.3989361702127665,2.3988005997001483,0
52,6.0,5.3,8.5,6.6,7.6,7.5,7.6,4.0,7.3,6.3,8.9,7.8,8.2,8.4,8.8,6.1,7.4,7.1,8.5,8.3,8.1,9.0,7.3,5.0,8.1,6.0,8.8,9.0,7.9,7.8,8.6,5.8,7.7,6.9,7.2,5.8,7.5,8.9,7.5,6.1,6.5,7.3,7.0,6.8,7.5,9.0,7.8,5.9,F,0,1,2.5,3.25,5.0,A,7.199999999999999,7.709999999999999,7.23,K,K,K,2.911917098445595,3.595744680851063,2.9565217391304337,0
53,5.3,7.0,7.0,7.3,6.7,8.4,6.6,7.8,8.0,7.2,6.5,7.0,6.9,8.0,7.9,7.1,6.8,7.9,6.9,7.7,5.8,8.6,6.8,7.2,6.6,7.0,7.3,7.4,6.3,7.8,6.7,6.9,7.4,6.7,6.5,5.9,7.0,6.5,6.9,7.2,5.9,6.9,5.7,5.5,6.9,5.3,7.0,5.9,F,0,2NT,3.75,3.5,4.5,D1,7.08,6.96,6.52,K,K,K,2.7875647668393784,2.797872340425532,2.10494752623688,0
54,4.9,5.9,6.2,5.6,5.9,5.0,7.0,5.6,6.1,7.1,6.4,6.0,6.3,5.5,6.2,6.6,2.5,4.8,5.0,5.0,4.5,2.4,5.8,3.7,6.2,4.1,4.4,5.2,4.1,6.3,4.9,4.6,4.9,5.2,4.9,5.5,5.5,4.6,5.5,5.4,6.5,7.5,6.1,5.6,5.2,5.7,5.6,6.3,M,0,1,1.0,5.5,4.25,A,5.975,4.54,5.605,TB,Y,TB,1.6424870466321242,0.2234042553191489,1.0074962518740624,0
55,5.3,5.7,5.4,4.6,4.4,6.6,4.7,5.3,5.1,4.9,3.4,5.7,5.4,6.4,7.3,5.5,6.4,3.6,4.0,6.6,5.3,7.0,6.0,4.7,5.6,6.0,3.6,6.4,6.3,6.6,5.1,5.2,6.5,5.4,6.1,4.6,5.7,6.9,6.3,4.9,6.5,5.7,6.0,5.7,7.5,7.8,6.0,6.7,F,0,2,4.5,3.75,4.5,D1,5.295,5.6000000000000005,6.225,TB,TB,TB,0.9378238341968914,1.3510638297872346,1.751124437781108,0
56,7.9,6.9,7.0,7.0,7.0,3.9,5.6,6.4,8.4,7.3,6.4,5.8,7.1,6.3,6.4,7.2,8.5,8.1,6.1,5.6,6.1,6.6,6.5,5.9,8.4,7.0,7.0,5.7,6.3,7.0,7.4,6.6,9.5,8.1,7.9,8.1,7.0,4.8,7.7,6.8,9.5,8.4,6.7,7.7,7.3,6.7,6.9,6.5,F,0,2NT,4.25,4.75,3.25,A1,6.85,6.904999999999999,7.645,K,K,K,2.549222797927461,2.739361702127659,3.454272863568214,0
57,6.3,6.9,6.9,6.9,6.8,6.2,7.6,6.7,7.0,7.7,6.9,8.5,6.2,6.5,6.8,6.3,5.5,6.8,5.7,7.1,6.6,8.6,7.7,5.9,6.3,7.7,6.3,7.4,7.3,8.1,6.5,7.0,8.5,7.1,7.3,6.6,7.2,7.0,6.9,7.1,8.7,7.0,6.6,7.4,7.4,7.0,6.9,6.7,F,0,1,6.0,5.5,5.0,A,6.824999999999999,6.8100000000000005,7.359999999999999,K,K,K,2.523316062176165,2.6382978723404262,3.112443778110942,1
58,7.2,7.6,6.6,6.6,5.0,7.1,6.8,9.3,7.3,7.0,8.2,8.2,5.5,6.9,8.1,8.4,7.5,7.8,8.6,6.5,5.5,7.4,7.8,8.7,7.6,7.6,8.8,7.6,4.8,7.0,5.8,8.7,7.8,6.6,8.1,5.9,5.6,5.8,7.3,8.1,6.4,8.9,7.8,6.7,4.2,6.6,6.8,7.9,F,0,1,2.0,5.5,5.0,A1,7.040000000000001,7.154999999999999,6.725,K,K,K,2.7461139896373066,3.0053191489361697,2.3508245877061453,0
59,6.5,5.8,7.4,7.7,7.2,7.5,6.5,4.6,8.3,7.4,6.8,8.2,7.7,7.8,6.8,6.0,8.3,5.7,8.4,8.3,7.3,7.1,6.1,8.0,7.1,5.7,5.7,7.9,7.0,8.6,7.0,8.4,5.8,6.6,6.9,5.9,6.0,7.0,7.2,7.7,7.9,7.8,7.7,7.8,7.0,9.1,8.1,8.5,M,0,2NT,2.25,5.25,6.0,A,7.095000000000001,7.3149999999999995,7.1850000000000005,K,K,K,2.803108808290156,3.1755319148936167,2.9025487256371805,0
60,3.6,4.6,5.0,6.9,5.2,4.5,5.8,7.3,3.5,4.1,3.4,7.3,5.5,6.0,5.6,7.5,4.2,3.4,3.4,6.6,4.7,6.3,4.8,7.5,3.2,5.9,3.6,8.2,5.9,6.8,6.3,7.7,4.4,2.6,4.9,5.7,5.6,6.1,4.8,7.4,4.9,6.1,4.3,7.0,5.1,5.8,6.1,8.4,M,1,1,3.0,4.0,4.0,D1,5.18,5.324999999999999,5.46,TB,TB,TB,0.8186528497409327,1.0585106382978715,0.8335832083958011,0
61,6.2,7.8,7.8,8.0,5.1,7.4,5.8,5.4,5.0,6.6,7.5,8.2,6.1,7.8,8.4,5.5,6.7,5.7,6.1,7.7,4.7,8.9,6.1,5.3,6.6,4.9,7.6,8.3,5.5,8.3,9.2,5.5,7.2,5.9,8.2,6.0,5.8,5.0,6.4,5.9,7.6,7.0,8.2,5.9,5.7,8.0,6.6,6.5,M,0,1,2.5,3.5,6.5,A,6.549999999999999,6.529999999999999,6.609999999999999,K,K,K,2.238341968911916,2.3404255319148928,2.2128935532233864,0
62,7.2,5.5,6.5,6.9,8.0,7.2,6.8,4.8,8.4,6.0,6.6,6.6,8.2,7.2,7.6,5.1,7.3,6.6,5.2,7.1,7.7,9.2,7.5,4.7,6.5,6.1,6.2,7.1,7.5,8.7,8.6,4.9,7.9,7.5,6.7,5.9,7.2,8.0,6.6,5.5,8.9,8.3,6.8,6.5,7.3,8.7,7.8,5.9,F,0,1,3.5,3.5,4.25,A,7.02,6.994999999999999,7.34,K,K,K,2.725388601036269,2.8351063829787226,3.0884557721139414,0
63,6.4,7.2,8.1,8.5,6.2,8.8,7.9,5.6,5.9,7.6,8.0,8.0,7.4,6.7,7.8,7.8,6.5,6.3,6.4,6.9,7.0,6.7,8.1,7.0,7.6,6.5,7.0,7.4,7.1,7.4,7.8,7.7,6.8,7.7,6.8,6.8,6.5,7.7,7.6,7.6,7.5,7.3,7.0,7.0,7.2,8.8,6.6,6.4,M,0,1,4.25,2.75,3.25,A,7.1899999999999995,7.08,7.165,K,K,K,2.9015544041450774,2.925531914893617,2.8785607196401783,0
64,7.5,7.6,7.8,7.9,5.7,8.1,5.8,6.2,7.6,6.8,8.7,7.9,5.7,8.8,8.4,6.1,6.8,6.9,7.2,9.0,5.7,9.2,7.6,5.4,6.8,7.8,7.7,7.8,5.9,8.9,7.5,5.4,8.0,6.4,6.4,7.1,5.7,8.6,7.2,6.7,6.6,8.1,6.7,6.4,6.0,7.2,7.3,6.6,M,0,1,2.25,3.5,5.0,A,7.154999999999999,7.039999999999999,6.865,K,K,K,2.8652849740932638,2.8829787234042543,2.518740629685156,0
65,7.1,6.2,8.4,7.3,6.4,6.7,8.5,4.9,6.9,6.5,8.2,7.3,6.5,8.1,7.6,6.1,8.1,7.4,8.3,8.0,6.7,8.4,8.8,5.5,7.2,8.0,7.0,7.6,7.1,8.6,7.6,6.1,6.9,8.0,8.7,6.3,5.7,8.6,7.4,4.7,7.4,6.7,7.4,5.4,6.7,9.1,7.1,5.4,M,6,2,4.25,3.75,6.0,A,6.98,7.475,6.91,K,K,K,2.6839378238341975,3.3457446808510634,2.5727136431784094,0
66,3.0,4.0,3.8,6.6,5.4,5.4,4.0,5.3,3.5,3.8,4.3,5.3,4.7,8.4,5.4,4.5,3.8,6.5,4.0,6.0,3.8,8.7,6.8,3.3,5.5,5.3,4.7,6.3,5.8,8.1,6.6,5.6,5.0,4.8,5.3,5.6,5.1,6.6,8.2,3.8,5.1,6.3,4.9,6.0,5.8,8.3,6.8,4.7,M,0,1,2.0,3.75,4.75,A,4.7,5.484999999999999,5.665,Y,TB,TB,0.32124352331606265,1.2287234042553186,1.0794602698650666,0
67,5.1,3.7,4.7,5.5,5.1,4.5,5.8,2.8,5.3,4.2,5.1,6.5,5.6,7.1,6.4,4.1,4.7,5.2,4.3,5.0,5.4,5.0,5.9,3.6,5.6,4.6,4.2,5.3,5.2,6.1,6.0,4.3,6.2,5.4,5.0,4.9,4.7,4.6,6.3,4.5,5.9,6.9,6.4,4.6,5.8,6.3,6.1,4.6,M,0,2NT,4.0,4.5,3.25,A,5.129999999999999,5.0649999999999995,5.54,TB,TB,TB,0.7668393782383413,0.7819148936170207,0.9295352323838072,0
68,4.6,4.9,5.3,5.7,4.5,5.0,7.3,2.8,7.2,6.5,4.9,6.3,4.0,6.5,7.5,3.8,7.6,4.9,5.1,5.1,4.6,5.3,6.7,4.1,6.2,5.8,6.7,6.9,5.7,5.8,7.1,4.2,8.0,4.3,7.7,7.4,4.7,4.5,6.6,5.3,7.2,5.0,8.0,6.3,5.5,5.7,5.8,4.6,M,0,1,4.5,4.5,5.5,B,5.354999999999999,5.795,6.1,TB,TB,TB,0.9999999999999989,1.5585106382978722,1.6011994002998486,0
69,7.3,6.4,6.9,7.5,6.2,8.4,7.6,8.1,8.1,7.0,7.1,8.3,6.8,6.9,9.2,8.7,8.2,6.8,7.7,8.6,7.3,8.3,7.8,8.2,7.9,7.7,7.1,9.2,7.6,7.8,8.4,7.8,8.4,8.4,7.3,7.5,7.2,7.7,7.6,8.6,8.1,8.0,8.1,7.1,8.0,8.8,7.9,7.9,M,0,1,3.75,6.0,4.5,B,7.445,7.870000000000001,7.915000000000001,K,K,K,3.1658031088082903,3.7659574468085117,3.7781109445277354,1
70,6.0,5.9,6.0,5.3,4.8,7.1,5.8,5.2,6.2,5.6,7.7,7.2,5.5,5.9,6.6,7.3,5.1,4.4,5.4,6.9,4.8,4.0,4.5,4.8,5.1,4.2,5.3,5.2,6.0,5.4,6.5,5.3,3.5,3.3,4.8,4.3,4.8,5.9,4.6,4.0,5.6,7.3,5.0,6.2,5.4,6.7,4.4,4.9,M,0,1,2.25,3.75,6.25,B,6.029999999999999,5.194999999999999,5.0,TB,TB,TB,1.6994818652849737,0.9202127659574462,0.2818590704647669,0
71,5.8,6.3,6.0,6.5,6.7,7.6,6.7,5.9,7.6,7.5,5.6,8.1,6.3,6.3,7.1,7.1,6.6,6.7,4.0,7.3,6.1,5.2,7.8,6.0,5.3,7.8,6.6,7.1,6.8,6.8,6.8,6.3,6.5,7.0,6.9,5.7,7.0,6.6,6.6,5.7,8.2,7.4,6.0,7.6,7.3,7.3,7.8,6.8,F,0,2,2.25,4.5,7.25,A,6.675000000000001,6.4,6.969999999999999,K,TB,K,2.3678756476683946,2.2021276595744683,2.6446776611694127,0
72,3.0,5.1,3.0,6.4,4.3,4.8,2.0,4.5,4.8,4.1,3.5,6.2,6.7,5.4,6.7,4.1,4.7,4.7,6.2,6.1,6.6,6.6,4.6,4.6,5.0,5.1,5.6,6.2,6.4,7.1,7.3,4.6,6.8,4.9,6.1,4.7,5.5,5.9,6.5,4.6,9.0,5.7,6.0,6.1,6.2,8.1,5.8,5.1,F,0,1,3.5,4.75,3.5,B,4.67,5.705,6.225,Y,TB,TB,0.290155440414508,1.4627659574468086,1.751124437781108,0
73,5.5,6.6,7.2,7.6,5.5,6.7,6.7,5.2,6.0,6.8,6.3,7.2,4.9,4.8,6.6,5.3,4.6,5.5,5.5,7.1,5.2,6.1,7.1,5.4,5.2,4.7,5.8,6.3,5.7,5.6,5.2,5.3,5.2,5.5,6.3,6.6,6.1,6.5,5.3,5.2,6.1,6.2,7.3,7.8,5.5,5.9,6.3,5.5,M,0,1,1.5,4.5,5.5,A,6.040000000000001,5.550000000000001,6.01,TB,TB,TB,1.7098445595854934,1.2978723404255326,1.493253373313342,0
74,5.2,3.1,4.7,5.8,6.1,3.1,4.8,4.4,5.5,5.9,5.7,6.3,5.5,4.8,6.1,5.1,4.7,6.3,5.0,6.1,5.9,5.8,6.1,5.8,4.3,5.9,5.5,7.0,6.7,4.7,6.1,6.2,4.7,6.0,5.5,4.7,5.8,2.9,5.4,5.1,5.7,5.4,5.7,4.7,5.7,5.3,5.3,4.8,F,0,1,2.0,4.5,3.75,A,5.22,5.685,5.2299999999999995,TB,TB,TB,0.8601036269430051,1.4414893617021272,0.5577211394302835,0
75,4.2,5.6,5.0,8.4,6.3,8.2,6.9,3.9,5.5,6.8,7.7,6.9,6.8,8.0,6.4,5.1,5.1,6.3,6.1,7.8,6.1,6.4,6.9,4.4,6.4,8.1,7.8,8.0,6.2,8.1,8.3,5.5,8.0,6.4,6.1,6.2,6.0,6.3,5.9,5.5,8.5,6.3,5.7,7.2,7.1,6.9,7.3,5.5,F,0,1,5.25,3.5,4.5,A,6.225,6.5649999999999995,6.7250000000000005,TB,K,K,1.9015544041450776,2.3776595744680846,2.350824587706146,0
76,5.5,4.0,4.3,5.6,3.3,5.9,2.8,3.4,6.0,4.3,3.2,4.5,3.7,4.9,4.7,3.2,2.9,2.8,3.5,4.1,4.1,3.5,5.1,4.8,4.2,3.6,3.5,6.3,5.2,6.6,5.4,4.6,5.5,5.0,3.9,5.1,4.2,5.4,4.9,3.7,4.0,4.4,4.7,6.1,4.1,7.6,5.4,3.5,M,0,1,4.75,3.5,3.25,A,4.39,4.33,4.765000000000001,Y,Y,Y,0.0,0.0,0.0,0
77,5.4,6.8,7.1,7.2,5.6,6.8,6.7,5.3,6.0,6.2,5.9,7.1,6.3,7.8,7.9,6.0,6.9,5.8,5.4,6.3,4.8,7.3,6.4,4.4,6.9,6.6,6.9,8.8,6.9,7.4,8.4,6.0,6.7,7.4,6.8,6.6,5.3,7.0,6.3,5.1,7.5,8.0,6.7,7.0,5.8,7.1,7.9,4.7,F,0,2NT,3.25,4.0,3.5,A,6.369999999999999,6.534999999999999,6.5600000000000005,TB,K,K,2.05181347150259,2.345744680851063,2.152923538230884,0
78,5.2,3.6,3.8,7.1,5.3,4.8,6.4,4.5,6.8,5.5,5.3,6.4,5.3,6.7,6.8,6.2,6.5,4.7,5.3,6.4,4.7,6.2,6.3,3.6,5.8,2.7,6.6,4.0,5.1,5.9,8.0,3.5,6.4,6.4,5.7,5.8,4.3,5.2,4.6,5.4,7.8,6.2,7.1,6.5,5.3,6.4,5.7,6.6,M,0,1,3.25,4.0,4.0,B,5.615,5.369999999999999,5.960000000000001,TB,TB,TB,1.269430051813472,1.1063829787234034,1.4332833583208395,0
79,5.3,4.3,5.9,7.7,6.8,6.9,7.0,5.6,5.2,5.0,6.4,6.1,5.8,7.6,6.1,3.9,5.0,5.5,4.4,7.6,6.1,6.0,6.0,4.9,3.5,5.2,5.4,6.9,6.2,5.2,5.7,4.5,5.2,5.7,4.7,4.9,5.0,5.2,5.6,7.6,5.2,5.5,5.4,5.6,4.7,4.5,5.6,6.0,M,0,1,3.5,4.5,4.25,B,5.935,5.445,5.325000000000001,TB,TB,TB,1.6010362694300515,1.1861702127659577,0.6716641679160424,0
80,4.8,3.9,5.5,4.9,5.6,4.1,5.8,5.1,5.1,4.0,4.5,5.6,5.6,5.9,7.2,4.4,5.7,4.9,5.0,4.6,5.0,4.8,7.0,4.1,5.0,5.3,5.1,6.3,5.8,6.8,5.6,4.7,6.7,4.8,5.0,5.5,5.8,4.4,4.6,4.1,6.6,6.6,5.9,6.9,7.2,3.8,5.1,4.9,F,0,2NT,2.0,3.5,5.5,A1,5.154999999999999,5.359999999999999,5.709999999999999,TB,TB,TB,0.7927461139896369,1.0957446808510631,1.1334332833583187,0
81,8.2,6.5,5.1,6.1,6.6,8.7,7.1,6.8,9.2,6.9,5.9,7.3,6.2,8.5,6.7,6.9,9.3,6.8,6.2,6.9,6.3,6.6,7.5,5.7,8.1,7.0,6.0,6.1,7.1,7.5,7.6,6.8,8.7,7.0,7.3,5.9,6.7,4.9,5.0,5.0,9.3,7.1,6.6,8.1,7.7,6.6,7.3,5.3,F,0,2NT,4.5,3.5,4.75,A,7.145,7.115,7.045,K,K,K,2.8549222797927456,2.962765957446809,2.7346326836581696,0
